word,rank,sentence_count
apartment,1704,24
survey,1706,15
count,1707,90
somehow,1708,244
exercise,1709,37
noted,1711,29
stone,1713,400
charles,1714,55
smaller,1715,49
bay,1716,68
wild,1717,354
mention,1718,81
guard,1719,92
losing,1720,45
thoughts,1721,201
birth,1723,45
partner,1724,27
prepared,1726,126
crowd,1727,85
doctors,1728,25
characters,1729,17
arts,1733,20
thursday,1734,28
suggested,1735,128
taught,1736,148
shape,1737,95
separate,1738,21
ah,1739,415
arrived,1740,196
balance,1741,23
seconds,1744,16
factor,1745,11
agent,1746,11
garden,1747,499
martin,1748,70
failure,1749,59
square,1752,87
younger,1754,86
announced,1756,81
native,1757,61
h,1758,31
measures,1759,10
worried,1760,120
advantage,1761,47
plays,1763,37
bigger,1764,94
killing,1765,38
strange,1766,400
slightly,1768,90
artist,1769,27
scott,1770,32
evil,1771,133
greatest,1773,106
neighborhood,1774,16
prevent,1775,57
finish,1777,92
apart,1778,68
legs,1779,350
honey,1781,55
double,1782,64
established,1783,18
method,1784,16
experiences,1785,12
prove,1788,75
host,1790,35
captain,1791,552
discovered,1792,201
cross,1793,276
familiar,1794,69
ourselves,1795,125
v,1798,50
bowl,1799,65
honor,1804,90
facts,1806,26
troops,1807,20
shooting,1808,30
listening,1810,122
lee,1812,20
anywhere,1814,165
streets,1815,51
december,1817,22
dry,1818,172
wednesday,1821,26
cook,1822,167
presented,1823,55
exist,1824,12
famous,1826,93
soldiers,1827,64
placed,1828,101
dress,1829,415
novel,1830,27
fourth,1831,98
favor,1833,46
lawyer,1834,22
bear,1837,591
snow,1838,422
plenty,1839,220
background,1840,18
abuse,1841,11
missed,1842,119
exchange,1843,33
views,1844,11
empty,1845,193
minister,1847,265
ed,1848,36
shop,1852,65
signed,1855,33
shared,1860,19
relations,1863,32
stick,1866,179
soul,1867,422
fellow,1868,529
terrible,1869,401
yards,1870,43
link,1871,13
thousand,1872,217
signs,1874,47
tend,1876,19
coast,1877,43
proud,1879,283
angry,1881,314
flight,1882,51
helps,1883,16
forever,1884,118
desire,1885,149
moon,1886,232
sad,1887,270
kinds,1888,46
extremely,1889,35
lucky,1890,82
storm,1893,137
regarding,1894,25
wine,1897,105
importance,1898,36
feelings,1899,143
appreciate,1900,17
heads,1901,232
letters,1902,202
suit,1905,188
lunch,1906,55
shoot,1907,79
van,1909,40
division,1910,10
salt,1911,70
literature,1912,11
driver,1913,17
aside,1914,128
wake,1915,117
medicine,1919,59
possibility,1920,14
joined,1923,98
luck,1924,142
bright,1925,371
mistake,1929,163
banks,1930,40
tired,1931,563
em,1933,254
recognize,1934,19
indian,1935,37
waste,1936,121
matters,1938,131
border,1939,18
match,1942,81
bet,1944,28
rain,1945,182
victory,1946,50
winning,1947,17
sees,1948,59
opportunities,1949,10
busy,1951,289
ben,1952,265
carried,1953,314
victims,1955,13
fox,1956,964
score,1958,42
breath,1959,378
harry,1960,63
unfortunately,1964,24
begins,1965,40
youth,1966,356
gift,1969,115
connection,1970,13
fly,1971,354
aid,1972,62
neck,1975,239
comfortable,1976,183
increasing,1977,12
forest,1978,699
mayor,1979,11
useful,1980,76
noticed,1981,169
boat,1982,338
entirely,1987,97
selling,1988,24
operation,1990,13
explained,1991,146
equal,1992,52
russian,1993,17
pages,1994,41
lights,1995,57
village,1996,245
williams,1997,17
stands,1999,49
england,2000,170
owner,2003,35
lies,2004,113
shoulder,2006,224
cast,2007,159
walls,2008,92
scores,2009,15
bringing,2010,116
boston,2011,29
lying,2012,247
understood,2013,165
proposed,2015,78
fan,2016,21
determined,2017,155
guide,2018,56
hole,2020,215
fingers,2021,118
ring,2022,235
valley,2023,250
managed,2024,89
henry,2025,58
farm,2028,174
cuts,2029,16
o,2030,543
taste,2031,138
expression,2033,167
figures,2035,35
blame,2036,148
bodies,2038,29
careful,2039,121
hang,2040,98
discuss,2042,27
domestic,2043,28
shoes,2044,135
pointed,2045,161
ass,2046,15
faces,2048,149
soft,2049,271
quarter,2050,58
wood,2052,504
universe,2053,15
german,2054,55
massive,2056,11
honest,2057,155
chicken,2058,65
gain,2059,32
northern,2060,17
excellent,2062,96
highest,2063,29
sugar,2064,70
supply,2065,37
enter,2068,96
yours,2071,235
germany,2072,30
buying,2073,15
dogs,2074,139
draw,2077,137
fix,2080,42
ends,2082,58
answers,2085,20
prime,2086,19
significantly,2087,10
experienced,2088,17
roll,2090,77
tea,2091,325
moments,2092,91
keeps,2093,73
eastern,2094,32
hoping,2096,107
canada,2098,28
believes,2099,21
serving,2104,10
committed,2105,15
planned,2106,56
stuck,2107,104
houses,2108,93
france,2109,34
brothers,2110,248
unlike,2111,37
fill,2113,122
reaction,2115,12
guilty,2117,58
pair,2118,185
beauty,2120,293
holy,2121,138
constitution,2122,13
grown,2123,348
magic,2124,149
everywhere,2125,92
remove,2127,17
drinking,2128,47
self,2129,171
shift,2132,18
treated,2133,72
communication,2135,10
besides,2136,305
extent,2139,13
horse,2140,590
leads,2141,24
previously,2142,15
opposite,2143,94
seek,2144,180
bridge,2146,153
songs,2148,49
argue,2149,24
assume,2150,11
scared,2151,105
wedding,2152,255
acting,2153,29
pushed,2154,94
treat,2155,53
confidence,2160,64
beer,2161,24
usual,2162,266
yellow,2163,295
grace,2164,109
occurred,2165,78
smoke,2166,96
gray,2168,329
newspaper,2170,37
likes,2171,155
don,2172,78
painting,2173,22
describe,2174,26
uncle,2176,864
forth,2177,258
hardly,2178,391
cards,2179,20
bunch,2182,45
map,2184,15
silver,2185,307
pounds,2186,36
victim,2187,18
considering,2188,31
passing,2190,94
carefully,2191,194
chest,2193,91
afford,2194,71
remained,2195,166
meat,2196,69
daddy,2198,51
ancient,2199,44
dan,2200,552
object,2202,89
fashion,2205,158
talks,2206,36
desk,2207,49
boss,2208,10
tony,2209,43
fired,2210,48
jump,2211,179
ought,2212,482
faster,2213,100
doors,2214,95
laugh,2215,487
tradition,2216,11
suspect,2217,68
intended,2218,72
rare,2219,47
pool,2220,366
accident,2221,78
accepted,2223,71
admit,2224,88
sight,2225,634
fields,2227,144
barely,2228,20
crew,2230,41
meanwhile,2231,127
charlie,2234,100
pattern,2235,33
moves,2236,16
circumstances,2238,55
somewhat,2239,142
rising,2240,83
struggle,2241,44
charged,2242,16
proper,2245,153
feature,2246,14
cat,2247,399
giant,2248,266
breaking,2249,87
sport,2250,34
removed,2251,53
thin,2254,183
grant,2256,94
False,2257,58
pop,2258,22
supported,2259,15
jeff,2260,26
saved,2261,148
remaining,2262,16
conducted,2264,10
contrast,2265,24
display,2266,22
brings,2267,52
nose,2268,361
weird,2269,18
falling,2270,102
adding,2272,26
ocean,2275,35
silence,2276,275
singing,2277,166
india,2278,35
tight,2280,91
solid,2281,42
golden,2285,386
danger,2286,218
stores,2287,17
merely,2290,114
k,2292,11
revealed,2293,28
request,2294,36
manner,2295,191
consequences,2296,26
facing,2299,15
guns,2300,59
smell,2301,92
offering,2303,31
pleasure,2304,268
metal,2305,10
fault,2306,166
suppose,2307,857
puts,2309,34
sets,2312,29
holds,2314,29
subjects,2315,53
birthday,2316,63
strike,2318,77
mix,2319,11
flow,2320,15
copy,2321,25
leg,2322,100
belief,2325,35
relative,2326,19
frequently,2327,24
dozen,2329,140
print,2330,35
reference,2333,13
flat,2334,132
excited,2335,151
donald,2336,33
mad,2337,191
estate,2338,28
observed,2340,115
stayed,2341,148
sarah,2345,42
seeking,2348,62
sale,2349,13
dreams,2350,222
powers,2351,53
tall,2352,337
harder,2355,93
ha,2356,28
louis,2357,12
paris,2358,39
buildings,2360,13
drew,2361,386
milk,2362,200
net,2365,34
flying,2366,210
recognized,2368,45
rice,2370,29
accounts,2371,35
davis,2372,52
joining,2373,10
articles,2375,10
literally,2377,10
existence,2379,54
attitude,2380,39
y,2381,107
entered,2385,217
reduced,2386,12
objects,2387,17
headed,2388,84
ladies,2389,190
jews,2393,10
relief,2394,120
papers,2395,81
vast,2397,29
finds,2398,59
feed,2401,72
woods,2402,178
escape,2403,153
ray,2405,105
length,2407,200
bird,2412,300
introduced,2414,31
completed,2418,15
dying,2420,134
enemy,2423,106
kennedy,2424,21
teeth,2431,173
perform,2432,13
eric,2433,188
upset,2434,49
cry,2437,473
stated,2438,10
tim,2439,17
inches,2440,38
perfectly,2442,275
orange,2443,19
wave,2444,53
calm,2446,119
fewer,2451,17
int,2452,14
broad,2453,149
carrying,2454,94
trail,2455,119
upper,2456,82
chose,2457,65
daniel,2458,138
loves,2459,78
wondering,2460,169
paint,2461,51
blow,2462,183
jersey,2464,20
advanced,2466,34
conclusion,2467,20
cream,2468,67
thick,2470,165
chapter,2473,433
ordered,2474,146
promised,2475,299
whenever,2476,124
birds,2478,215
bible,2479,65
rush,2480,70
suffering,2481,64
assistance,2482,17
reasonable,2483,23
duty,2486,158
circle,2487,77
shirt,2488,34
wilson,2489,28
brief,2490,54
reader,2493,18
advance,2494,18
miller,2495,79
command,2498,65
drove,2503,192
discussed,2504,16
frame,2506,34
brand,2508,24
deeply,2509,64
cutting,2511,67
hopes,2512,79
opposed,2514,14
fairly,2515,104
anger,2516,153
critics,2517,12
indicated,2518,10
mess,2519,42
weak,2523,98
bills,2524,30
armed,2525,49
journey,2526,167
fed,2531,82
twenty,2532,277
unable,2534,29
guest,2535,64
tears,2537,416
performed,2538,13
hanging,2539,162
beneath,2540,113
violent,2541,23
asks,2542,35
falls,2543,30
joke,2546,169
appearance,2547,106
jimmy,2548,471
hidden,2549,164
bond,2550,18
hide,2551,193
motion,2552,29
cheese,2553,29
capable,2555,26
appeal,2557,22
affected,2559,25
occur,2560,11
queen,2562,618
chosen,2563,66
struck,2566,266
extreme,2569,21
affairs,2571,105
express,2572,70
laid,2573,356
max,2574,42
wealth,2575,49
poverty,2577,30
engine,2579,16
spiritual,2580,10
ted,2581,104
talent,2582,34
warning,2583,70
partners,2585,11
cooking,2586,63
ages,2587,24
expressed,2588,51
noise,2589,167
jordan,2590,47
raising,2591,23
sleeping,2593,105
soil,2594,22
closely,2595,52
dollar,2596,37
nick,2598,18
re,2599,917
childhood,2600,37
rooms,2602,78
musical,2604,22
notion,2605,65
regardless,2606,15
fail,2607,89
conduct,2609,32
lesson,2612,106
turkey,2615,56
constant,2616,17
jerry,2620,461
claimed,2621,10
arrested,2622,10
plate,2623,50
drawn,2624,82
joint,2625,14
adam,2628,48
joy,2629,318
encourage,2632,11
laughing,2634,439
flowers,2635,345
sending,2637,38
susan,2638,523
pocket,2640,155
prepare,2642,46
bell,2644,252
refused,2645,120
